platform_code,time,latitude,longitude,observation_depth,ztmp,zsal
,UTC,degrees_north,degrees_east,,Deg C,
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,297.5,3.45,33.66
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,299.4,3.48,33.66
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,301.4,3.5,33.67
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,303.4,3.5,33.67
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,305.4,3.47,33.68
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,307.4,3.45,33.69
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,309.3,3.56,33.69
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,311.3,3.61,33.7
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,313.3,3.61,33.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,315.3,3.61,33.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,317.3,3.59,33.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,319.2,3.58,33.72
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,321.2,3.59,33.73
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,323.2,3.6,33.73
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,325.2,3.6,33.74
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,327.2,3.61,33.75
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,329.1,3.61,33.77
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,331.1,3.62,33.77
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,333.1,3.62,33.78
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,335.1,3.62,33.78
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,337.1,3.63,33.79
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,339.1,3.64,33.8
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,341.0,3.66,33.81
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,343.0,3.68,33.82
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,345.0,3.69,33.83
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,346.9,3.73,33.84
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,348.9,3.77,33.85
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,350.9,3.81,33.86
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,352.9,3.85,33.87
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,354.9,3.85,33.87
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,356.8,3.85,33.87
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,358.8,3.85,33.87
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,360.8,3.85,33.88
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,362.8,3.86,33.88
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,364.8,3.86,33.89
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,366.7,3.86,33.89
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,368.7,3.85,33.89
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,370.7,3.85,33.89
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,372.7,3.85,33.9
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,374.7,3.85,33.9
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,376.6,3.83,33.9
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,378.6,3.82,33.9
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,380.6,3.81,33.91
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,382.6,3.81,33.91
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,384.5,3.81,33.91
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,386.5,3.79,33.91
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,388.5,3.79,33.91
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,390.5,3.79,33.92
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,392.5,3.79,33.92
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,394.4,3.78,33.93
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,396.4,3.78,33.93
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,398.4,3.78,33.93
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,400.4,3.78,33.93
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,402.4,3.78,33.93
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,404.3,3.78,33.93
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,406.3,3.78,33.93
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,408.3,3.78,33.93
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,410.3,3.78,33.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,412.3,3.78,33.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,414.2,3.78,33.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,416.2,3.77,33.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,418.2,3.77,33.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,420.2,3.77,33.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,422.1,3.77,33.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,424.1,3.77,33.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,426.1,3.77,33.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,428.1,3.78,33.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,430.1,3.77,33.95
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,432.0,3.77,33.95
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,434.0,3.77,33.95
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,436.0,3.77,33.95
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,438.0,3.77,33.95
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,439.9,3.77,33.95
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,441.9,3.77,33.96
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,443.9,3.77,33.96
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,445.9,3.77,33.96
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,447.9,3.77,33.97
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,449.8,3.77,33.97
